bathrooms,bedrooms,fee,price,square_feet,cityname,state
1.0,1.0,No,2195.0,542.0,Redondo Beach,CA
1.5,3.0,No,1250.0,1500.0,Newport News,VA
2.0,3.0,No,1395.0,1650.0,Raleigh,NC
1.0,2.0,No,1600.0,820.0,Vacaville,CA
1.0,1.0,No,975.0,624.0,Albuquerque,NM
1.5,2.0,No,1250.0,965.0,Albuquerque,NM
2.0,2.0,No,1600.0,1120.0,Hampton,VA
2.0,2.0,No,1300.0,947.0,Lakewood,CO
1.0,2.0,No,795.0,600.0,Charleston,WV
2.0,2.0,No,2150.0,1005.0,Chatsworth,CA
2.5,3.0,No,1795.0,1522.0,Alpharetta,GA
3.0,2.0,No,3195.0,3077.0,Marblehead,MA
2.0,2.0,No,2395.0,896.0,Washington,DC
3.5,4.0,No,7800.0,4650.0,Scottsdale,AZ
1.0,3.0,No,720.0,800.0,Ames,IA
1.5,2.0,No,2000.0,872.0,Kirkland,WA
1.0,1.0,No,729.0,800.0,San Antonio,TX
1.0,1.0,No,1045.0,700.0,Villa Park,IL
3.0,3.0,No,1800.0,1500.0,Oxford,MS
1.0,2.0,No,1250.0,435.0,Portland,OR
1.0,0.0,No,1099.0,290.0,Portland,OR
1.0,1.0,No,1060.0,650.0,Austin,TX
1.0,1.0,No,1003.0,797.0,Round Rock,TX
1.0,1.0,No,837.0,444.0,Austin,TX
1.0,1.0,No,1020.0,692.0,Austin,TX
1.0,1.0,No,985.0,693.0,Austin,TX
1.0,1.0,No,1581.0,703.0,Austin,TX
1.0,1.0,No,1090.0,665.0,Georgetown,TX
2.5,3.0,No,3250.0,1525.0,Ladera Ranch,CA
1.0,1.0,No,962.0,532.0,Austin,TX
2.0,2.0,No,1740.0,1600.0,West Palm Beach,FL
1.0,1.0,No,1722.0,453.0,Austin,TX
1.0,1.0,No,840.0,540.0,Round Rock,TX
2.0,2.0,No,1590.0,1000.0,Kansas City,MO
1.0,1.0,No,975.0,615.0,San Antonio,TX
1.0,0.0,No,895.0,430.0,Pittsburgh,PA
2.5,3.0,No,1695.0,1550.0,Urbandale,IA
1.0,1.0,No,975.0,650.0,San Antonio,TX
2.0,5.0,No,4500.0,2050.0,Allston,MA
2.5,3.0,No,3990.0,1739.0,San Jose,CA
1.0,1.0,No,2300.0,668.0,Oakland,CA
1.0,2.0,No,2550.0,860.0,Oakland,CA
3.0,4.0,No,4950.0,3350.0,Mission Viejo,CA
1.5,2.0,No,4950.0,1200.0,Berkeley,CA
1.0,2.0,No,1225.0,720.0,Madison,WI
1.0,1.0,No,1025.0,616.0,Windsor,WI
2.0,2.0,No,2548.0,1391.0,Sherman Oaks,CA
2.0,3.0,No,1299.0,1119.0,Concord,NC
1.0,2.0,No,1549.0,431.0,Arlington,VA
1.0,2.0,No,1905.0,900.0,Alexandria,VA
2.0,3.0,No,1199.0,1273.0,Dallas,GA
2.0,4.0,No,3580.0,2100.0,Chicago,IL
1.0,1.0,No,495.0,360.0,Tulsa,OK
1.0,2.0,No,650.0,314.0,Ogden,UT
1.0,1.0,No,973.0,509.0,Orlando,FL
1.0,2.0,No,2095.0,390.0,Providence,RI
1.0,1.0,No,750.0,568.0,Spokane Valley,WA
1.0,1.0,No,1475.0,663.0,Somerset,NJ
2.0,4.0,No,1650.0,1100.0,Urbana,IL
1.0,1.0,No,1200.0,840.0,Lafayette,IN
1.0,1.0,No,720.0,511.0,Champaign,IL
1.0,2.0,No,1385.0,572.0,Sacramento,CA
1.0,1.0,No,1007.0,735.0,Lees Summit,MO
2.0,3.0,No,1499.0,1544.0,Jacksonville,FL
1.0,1.0,No,671.0,685.0,Orange,TX
1.0,2.0,No,1910.0,745.0,Boulder,CO
1.0,1.0,No,945.0,530.0,San Antonio,TX
1.0,1.0,No,1164.0,755.0,Owings Mills,MD
1.0,2.0,No,777.0,563.0,Raleigh,NC
1.0,1.0,No,1055.0,550.0,Saint Petersburg,FL
1.0,1.0,No,665.0,443.0,Houston,TX
1.0,1.0,No,600.0,347.0,Saint Louis,MO
1.0,2.0,No,2000.0,1220.0,Kent,WA
1.0,1.0,No,799.0,500.0,Oklahoma City,OK
2.0,3.0,No,1400.0,1168.0,Edwardsville,IL
1.0,1.0,No,1915.0,760.0,Chicago,IL
1.0,1.0,No,645.0,675.0,West Bend,WI
1.0,1.0,No,650.0,560.0,Bowling Green,OH
2.5,3.0,No,1795.0,1656.0,Ridgefield,WA
1.0,1.0,No,2683.0,957.0,Nashville,TN
3.0,3.0,No,3995.0,2831.0,Portland,OR
1.0,1.0,No,850.0,685.0,Dickinson,ND
1.0,2.0,No,885.0,468.0,Omaha,NE
1.0,2.0,No,2395.0,900.0,Washington,DC
2.0,3.0,No,1250.0,2628.0,Fort Smith,AR
1.0,1.0,No,1795.0,500.0,Carlsbad,CA
1.0,2.0,No,545.0,950.0,Arvilla,ND
2.5,5.0,No,3495.0,2900.0,Madison,WI
1.0,0.0,No,1195.0,300.0,Seattle,WA
1.0,2.0,No,595.0,792.0,Battle Creek,MI
4.0,4.0,No,6500.0,3800.0,Annapolis,MD
2.0,3.0,No,1395.0,1550.0,Grand Forks,ND
1.0,1.0,No,1145.0,350.0,Philadelphia,PA
2.5,4.0,No,1895.0,2132.0,Vancouver,WA
1.0,1.0,No,975.0,882.0,San Antonio,TX
1.0,2.0,No,1015.0,845.0,Omaha,NE
2.0,3.0,No,1495.0,1850.0,La Vista,NE
1.0,1.0,No,1103.0,652.0,Austin,TX
1.0,1.0,No,1032.0,600.0,Austin,TX
1.0,2.0,No,1729.0,448.0,Austin,TX
1.0,2.0,No,920.0,420.0,Austin,TX
1.0,1.0,No,1339.0,726.0,Cedar Park,TX
1.5,3.0,No,1650.0,1250.0,University Place,WA
1.0,3.0,No,1695.0,1253.0,Cincinnati,OH
1.0,1.0,No,932.0,725.0,Pearland,TX
2.0,2.0,No,1500.0,1177.0,Brunswick,OH
1.0,2.0,No,2200.0,1070.0,Hawthorne,CA
2.5,2.0,No,2795.0,1370.0,Seattle,WA
2.5,4.0,No,3200.0,1474.0,Pleasanton,CA
2.5,3.0,No,3399.0,1721.0,San Jose,CA
2.0,4.0,No,1549.0,2598.0,Laveen,AZ
2.0,4.0,No,1299.0,2200.0,Conyers,GA
1.0,1.0,No,778.0,616.0,Kansas City,MO
1.0,1.0,No,1140.0,691.0,Kansas City,MO
1.0,1.0,No,949.0,625.0,Tallahassee,FL
1.0,1.0,No,891.0,832.0,Edmond,OK
2.0,2.0,No,1400.0,1140.0,Waterloo,IA
1.0,2.0,No,1160.0,338.0,Gainesville,FL
1.0,1.0,No,1225.0,450.0,College Station,TX
1.0,2.0,No,960.0,752.0,West Lafayette,IN
2.0,3.0,No,1525.0,1698.0,Burleson,TX
1.0,2.0,No,995.0,1336.0,Ames,IA
3.0,4.0,No,1799.0,3740.0,Maricopa,AZ
1.0,1.0,No,900.0,701.0,Tucson,AZ
1.0,1.0,No,883.0,719.0,Bellevue,NE
1.0,3.0,No,1424.0,1050.0,Forest Lake,MN
1.0,1.0,No,850.0,770.0,Cincinnati,OH
1.0,2.0,No,715.0,740.0,Lees Summit,MO
1.0,2.0,No,1025.0,500.0,Greeley,CO
1.0,1.0,No,625.0,468.0,Urbana,IL
1.0,1.0,No,1660.0,727.0,Atlanta,GA
1.0,1.0,No,2000.0,585.0,Fremont,CA
1.0,1.0,No,1649.0,738.0,Tampa,FL
1.0,1.0,No,1345.0,675.0,San Bernardino,CA
1.0,1.0,No,1505.0,490.0,Bellevue,WA
1.0,1.0,No,1575.0,720.0,Lake Forest Park,WA
1.0,1.0,No,1445.0,700.0,Kent,WA
2.0,2.0,No,1440.0,973.0,Federal Way,WA
1.0,1.0,No,1161.0,780.0,Tampa,FL
1.0,1.0,No,1495.0,825.0,New Bedford,MA
1.0,2.0,No,946.0,720.0,Baltimore,MD
1.0,2.0,No,1570.0,582.0,Philadelphia,PA
1.0,2.0,No,950.0,650.0,Kansas City,MO
1.0,1.0,No,535.0,539.0,Houston,TX
1.0,1.0,No,877.0,1003.0,Houston,TX
1.0,1.0,No,1889.0,939.0,Houston,TX
1.0,1.0,No,1150.0,580.0,Houston,TX
3.5,5.0,No,2350.0,2800.0,Monument,CO
1.0,0.0,No,1299.0,350.0,Portland,OR
1.0,0.0,No,1250.0,228.0,Seattle,WA
1.0,1.0,No,825.0,550.0,Georgetown,TX
1.0,1.0,No,675.0,700.0,Omaha,NE
3.5,4.0,No,8500.0,2613.0,Kailua,HI
1.0,1.0,No,1425.0,650.0,Parsippany,NJ
1.0,1.0,No,830.0,727.0,Lithonia,GA
2.5,3.0,No,1750.0,2068.0,Cocoa Beach,FL
1.0,1.0,No,595.0,300.0,Grand Junction,CO
3.0,4.0,No,2700.0,2528.0,Georgetown,TX
1.0,1.0,No,885.0,660.0,Blanco,TX
1.0,0.0,No,1130.0,490.0,Forest Grove,OR
2.0,2.0,No,1650.0,789.0,Miami Beach,FL
2.5,3.0,No,4525.0,1884.0,Birmingham,MI
1.0,1.0,No,625.0,650.0,Omaha,NE
1.0,1.0,No,595.0,615.0,Jonesboro,AR
1.0,1.0,No,1370.0,708.0,Milwaukee,WI
1.0,2.0,No,1675.0,725.0,Philadelphia,PA
1.0,1.0,No,985.0,642.0,Austin,TX
2.5,2.0,No,2200.0,1082.0,Lemon Grove,CA
1.0,1.0,No,825.0,856.0,Fort Worth,TX
3.0,3.0,No,1895.0,1820.0,Omaha,NE
2.5,3.0,No,2047.0,1851.0,Winter Garden,FL
1.0,1.0,No,1155.0,697.0,Leander,TX
1.0,3.0,No,1210.0,597.0,Austin,TX
1.0,1.0,No,1554.0,777.0,Austin,TX
1.0,1.0,No,1130.0,792.0,Austin,TX
1.0,1.0,No,1125.0,658.0,Austin,TX
1.0,1.0,No,1391.0,677.0,Dallas,TX
1.0,2.0,No,1050.0,508.0,Austin,TX
1.0,1.0,No,2500.0,724.0,Austin,TX
1.0,1.0,No,2184.0,835.0,Austin,TX
1.0,2.0,No,1950.0,975.0,Philadelphia,PA
1.0,1.0,No,2186.0,843.0,Dallas,TX
1.0,1.0,No,930.0,610.0,Austin,TX
1.0,1.0,No,999.0,522.0,Doylestown,PA
1.0,3.0,No,1650.0,750.0,Chicago,IL
1.5,2.0,No,1545.0,885.0,Provo,UT
2.0,3.0,No,1899.0,1307.0,Fernandina Beach,FL
2.0,2.0,No,1950.0,1070.0,Chicago,IL
