holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
Nothing,288.28,0.0,0.0,40,Clouds,scattered clouds,2012-10-02 09:00:00,5545
Nothing,289.36,0.0,0.0,75,Clouds,broken clouds,2012-10-02 10:00:00,4516
Nothing,289.58,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 11:00:00,4767
Nothing,290.13,0.0,0.0,90,Clouds,overcast clouds,2012-10-02 12:00:00,5026
Nothing,291.14,0.0,0.0,75,Clouds,broken clouds,2012-10-02 13:00:00,4918
Nothing,291.72,0.0,0.0,1,Clear,sky is clear,2012-10-02 14:00:00,5181
Nothing,293.17,0.0,0.0,1,Clear,sky is clear,2012-10-02 15:00:00,5584
Nothing,293.86,0.0,0.0,1,Clear,sky is clear,2012-10-02 16:00:00,6015
Nothing,294.14,0.0,0.0,20,Clouds,few clouds,2012-10-02 17:00:00,5791
Nothing,293.1,0.0,0.0,20,Clouds,few clouds,2012-10-02 18:00:00,4770
Nothing,290.97,0.0,0.0,20,Clouds,few clouds,2012-10-02 19:00:00,3539
Nothing,289.38,0.0,0.0,1,Clear,sky is clear,2012-10-02 20:00:00,2784
Nothing,288.61,0.0,0.0,1,Clear,sky is clear,2012-10-02 21:00:00,2361
Nothing,287.16,0.0,0.0,1,Clear,sky is clear,2012-10-02 22:00:00,1529
Nothing,285.45,0.0,0.0,1,Clear,sky is clear,2012-10-02 23:00:00,963
Nothing,284.63,0.0,0.0,1,Clear,sky is clear,2012-10-03 00:00:00,506
Nothing,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-03 01:00:00,321
Nothing,281.18,0.0,0.0,1,Clear,sky is clear,2012-10-03 02:00:00,273
Nothing,281.09,0.0,0.0,1,Clear,sky is clear,2012-10-03 03:00:00,367
Nothing,279.53,0.0,0.0,1,Clear,sky is clear,2012-10-03 04:00:00,814
Nothing,278.62,0.0,0.0,1,Clear,sky is clear,2012-10-03 05:00:00,2718
Nothing,278.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 06:00:00,5673
Nothing,278.12,0.0,0.0,1,Clear,sky is clear,2012-10-03 08:00:00,6511
Nothing,282.48,0.0,0.0,1,Clear,sky is clear,2012-10-03 09:00:00,5471
Nothing,291.97,0.0,0.0,1,Clear,sky is clear,2012-10-03 12:00:00,5097
Nothing,293.23,0.0,0.0,1,Clear,sky is clear,2012-10-03 13:00:00,4887
Nothing,294.31,0.0,0.0,1,Clear,sky is clear,2012-10-03 14:00:00,5337
Nothing,295.17,0.0,0.0,1,Clear,sky is clear,2012-10-03 15:00:00,5692
Nothing,295.13,0.0,0.0,1,Clear,sky is clear,2012-10-03 16:00:00,6137
Nothing,293.66,0.0,0.0,20,Clouds,few clouds,2012-10-03 18:00:00,4623
Nothing,290.65,0.0,0.0,20,Clouds,few clouds,2012-10-03 19:00:00,3591
Nothing,288.19,0.0,0.0,20,Clouds,few clouds,2012-10-03 20:00:00,2898
Nothing,287.1,0.0,0.0,1,Clear,sky is clear,2012-10-03 21:00:00,2637
Nothing,286.25,0.0,0.0,1,Clear,sky is clear,2012-10-03 22:00:00,1777
Nothing,285.26,0.0,0.0,1,Clear,sky is clear,2012-10-03 23:00:00,1015
Nothing,284.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 00:00:00,598
Nothing,283.47,0.0,0.0,1,Clear,sky is clear,2012-10-04 01:00:00,369
Nothing,283.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 02:00:00,312
Nothing,282.04,0.0,0.0,1,Clear,sky is clear,2012-10-04 03:00:00,367
Nothing,281.69,0.0,0.0,1,Clear,sky is clear,2012-10-04 04:00:00,835
Nothing,281.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 05:00:00,2726
Nothing,280.74,0.0,0.0,1,Clear,sky is clear,2012-10-04 06:00:00,5689
Nothing,280.57,0.0,0.0,1,Clear,sky is clear,2012-10-04 07:00:00,6990
Nothing,281.86,0.0,0.0,1,Clear,sky is clear,2012-10-04 08:00:00,5985
Nothing,284.98,0.0,0.0,1,Clear,sky is clear,2012-10-04 09:00:00,5309
Nothing,289.18,0.0,0.0,1,Clear,sky is clear,2012-10-04 10:00:00,4603
Nothing,291.55,0.0,0.0,1,Clear,sky is clear,2012-10-04 11:00:00,4884
Nothing,294.97,0.0,0.0,1,Clear,sky is clear,2012-10-04 12:00:00,5104
Nothing,296.38,0.0,0.0,1,Clear,sky is clear,2012-10-04 13:00:00,5178
Nothing,297.32,0.0,0.0,1,Clear,sky is clear,2012-10-04 14:00:00,5501
Nothing,298.17,0.0,0.0,1,Clear,sky is clear,2012-10-04 15:00:00,5713
Nothing,298.06,0.0,0.0,20,Clouds,few clouds,2012-10-04 16:00:00,6292
Nothing,297.67,0.0,0.0,20,Clouds,few clouds,2012-10-04 17:00:00,6057
Nothing,296.36,0.0,0.0,40,Clouds,scattered clouds,2012-10-04 18:00:00,4907
